species,species_lemmatized
Abditibacterium utsteinense,abditibacterium utsteinense
Abiotrophia defectiva,abiotrophia defectiva
Absicoccus porci,Absicoccus porci
Absiella argi,Absiella argi
Abyssibacter profundi,abyssibacter profundi
Abyssicoccus albus,Abyssicoccus albus
Abyssisolibacter fermentans,abyssisolibacter fermentan
Abyssivirga alkaniphila,Abyssivirga alkaniphila
Acanthopleuribacter pedis,acanthopleuribacter pedis
Acaricomes phytoseiuli,acaricomes phytoseiuli
Acerihabitans arboris,Acerihabitans arboris
Acetanaerobacterium elongatum,acetanaerobacterium elongatum
Acetanaerobacterium sp.,acetanaerobacterium sp .
Acetatifactor muris,Acetatifactor muris
Acetilactobacillus jinshanensis,acetilactobacillus jinshanensis
Acetitomaculum ruminis,acetitomaculum ruminis
Acetivibrio aldrichii,Acetivibrio aldrichii
Acetivibrio cellulolyticus,acetivibrio cellulolyticus
Acetivibrio clariflavus,Acetivibrio clariflavus
Acetivibrio ethanolgignens,acetivibrio ethanolgignen
Acetivibrio mesophilus,acetivibrio mesophilus
Acetivibrio saccincola,Acetivibrio saccincola
Acetivibrio straminisolvens,Acetivibrio straminisolvens
Acetivibrio thermocellus,Acetivibrio thermocellus
Acetoanaerobium pronyense,acetoanaerobium pronyense
Acetoanaerobium sticklandii,acetoanaerobium sticklandii
Acetobacter aceti,acetobacter aceti
Acetobacter cerevisiae,acetobacter cerevisiae
Acetobacter cibinongensis,acetobacter cibinongensis
Acetobacter estunensis,acetobacter estunensis
Acetobacter fabarum,acetobacter fabarum
Acetobacter ghanensis,acetobacter ghanensis
Acetobacter indonesiensis,acetobacter indonesiensis
Acetobacter lambici,acetobacter lambici
Acetobacter lovaniensis,acetobacter lovaniensis
Acetobacter malorum,acetobacter malorum
Acetobacter musti,acetobacter musti
Acetobacter nitrogenifigens,acetobacter nitrogenifigen
Acetobacter oeni,acetobacter oeni
Acetobacter okinawensis,acetobacter okinawensis
Acetobacter orientalis,acetobacter orientalis
Acetobacter orleanensis,acetobacter orleanensis
Acetobacter oryzifermentans,acetobacter oryzifermentan
Acetobacter oryzoeni,acetobacter oryzoeni
Acetobacter papayae,acetobacter papayae
Acetobacter pasteurianus,acetobacter pasteurianus
Acetobacter persici,acetobacter persici
Acetobacter pomorum,acetobacter pomorum
Acetobacter senegalensis,acetobacter senegalensis
Acetobacter sicerae,acetobacter sicerae
