species
"Abditibacterium utsteinense"
"Abiotrophia defectiva"
"Absicoccus porci"
"Absiella argi"
"Abyssibacter profundi"
"Abyssicoccus albus"
"Abyssisolibacter fermentans"
"Abyssivirga alkaniphila"
"Acanthopleuribacter pedis"
"Acaricomes phytoseiuli"
"Acerihabitans arboris"
"Acetanaerobacterium elongatum"
"Acetanaerobacterium sp."
"Acetatifactor muris"
"Acetilactobacillus jinshanensis"
"Acetitomaculum ruminis"
"Acetivibrio aldrichii"
"Acetivibrio cellulolyticus"
"Acetivibrio clariflavus"
"Acetivibrio ethanolgignens"
"Acetivibrio mesophilus"
"Acetivibrio saccincola"
"Acetivibrio straminisolvens"
"Acetivibrio thermocellus"
"Acetoanaerobium pronyense"
"Acetoanaerobium sticklandii"
"Acetobacter aceti"
"Acetobacter cerevisiae"
"Acetobacter cibinongensis"
"Acetobacter estunensis"
"Acetobacter fabarum"
"Acetobacter ghanensis"
"Acetobacter indonesiensis"
"Acetobacter lambici"
"Acetobacter lovaniensis"
"Acetobacter malorum"
"Acetobacter musti"
"Acetobacter nitrogenifigens"
"Acetobacter oeni"
"Acetobacter okinawensis"
"Acetobacter orientalis"
"Acetobacter orleanensis"
"Acetobacter oryzifermentans"
"Acetobacter oryzoeni"
"Acetobacter papayae"
"Acetobacter pasteurianus"
"Acetobacter persici"
"Acetobacter pomorum"
"Acetobacter senegalensis"
"Acetobacter sicerae"
"Acetobacter sp."
"Acetobacter syzygii"
"Acetobacter tropicalis"
"Acetobacter xylinum subsp. nonacetoxidans"
"Acetobacter xylinus subsp. sucrofermentans"
"Acetobacterium bakii"
"Acetobacterium carbinolicum"
"Acetobacterium dehalogenans"
"Acetobacterium fimetarium"
"Acetobacterium malicum"
"Acetobacterium paludosum"
"Acetobacterium sp."
"Acetobacterium tundrae"
"Acetobacterium wieringae"
"Acetobacterium woodii"
"Acetobacteroides hydrogenigenes"
"Acetohalobium arabaticum"
"Acetomicrobium faecale"
"Acetomicrobium flavidum"
"Acetomicrobium hydrogeniformans"
"Acetomicrobium mobile"
"Acetomicrobium thermoterrenum"
"Acetonema longum"
"Acetonema sp."
"Acholeplasma equirhinis"
"Acholeplasma laidlawii"
"Acholeplasma vituli"
"Achromobacter aegrifaciens"
"Achromobacter agilis"
"Achromobacter aloeverae"
"Achromobacter animicus"
"Achromobacter anxifer"
"Achromobacter deleyi"
"Achromobacter denitrificans"
"Achromobacter dolens"
"Achromobacter insolitus"
"Achromobacter insuavis"
"Achromobacter kerstersii"
"Achromobacter marplatensis"
"Achromobacter mucicolens"
"Achromobacter pestifer"
"Achromobacter piechaudii"
"Achromobacter pulmonis"
"Achromobacter ruhlandii"
"Achromobacter sp."
"Achromobacter spanius"
"Achromobacter xylosoxidans"
"Achromobacter xylosoxidans subsp. xylosoxidans"
"Acidaminobacter hydrogenoformans"
"Acidaminococcus fermentans"
"Acidaminococcus intestini"
"Acidianus ambivalens"
"Acidianus brierleyi"
