species_names
Abditibacterium utsteinense
Abiotrophia balaenopterae
Abiotrophia balaenopterae sp. nov.
Abiotrophia defectiva
Absicoccus porci
Absicoccus porci gen. nov.
Absidia panacisoli
Absidia panacisoli sp. nov.
Absiella argi
Abyssibacter profundi
Abyssibacter profundi gen. nov.
Abyssicoccus albus
Abyssisolibacter fermentans
Abyssivirga alkaniphila
Abyssivirga alkaniphila gen. nov.
Acanthopleuribacter pedis
Acanthopleuribacter pedis gen. nov.
Acaricomes phytoseiuli
Acaricomes phytoseiuli gen. nov.
Acerihabitans arboris
Acerihabitans arboris gen. nov.
Acetanaerobacterium elongatum
Acetanaerobacterium elongatum gen. nov.
Acetanaerobacterium sp.
Acetatifactor muris
Acetilactobacillus jinshanensis
Acetitomaculum ruminis
Acetivibrio aldrichii
Acetivibrio cellulolyticus
Acetivibrio clariflavus
Acetivibrio ethanolgignens
Acetivibrio mesophilus
Acetivibrio saccincola
Acetivibrio straminisolvens
Acetivibrio thermocellus
Acetoanaerobium noterae
Acetoanaerobium noterae gen. nov.
Acetoanaerobium pronyense
Acetoanaerobium pronyense sp. nov.
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter cerevisiae
Acetobacter cibinongensis
Acetobacter diazotrophicus
Acetobacter diazotrophicus sp. nov.
Acetobacter estunensis
Acetobacter fabarum
Acetobacter fabarum sp. nov.
Acetobacter garciniae
Acetobacter garciniae sp. nov.
Acetobacter ghanensis
Acetobacter ghanensis sp. nov.
Acetobacter indonesiensis
Acetobacter lambici
Acetobacter lambici sp. nov.
Acetobacter lovaniensis
Acetobacter malorum
Acetobacter methanolicus
Acetobacter methanolicus sp. nov.
Acetobacter musti
Acetobacter musti sp. nov.
Acetobacter nitrogenifigens
Acetobacter oeni
Acetobacter oeni sp. nov.
Acetobacter okinawensis
Acetobacter orientalis
Acetobacter orleanensis
Acetobacter oryzifermentans
Acetobacter oryzoeni
Acetobacter oryzoeni sp. nov.
Acetobacter papayae
Acetobacter pasteurianus
Acetobacter persici
Acetobacter pomorum
Acetobacter senegalensis
Acetobacter senegalensis sp. nov.
Acetobacter sicerae
Acetobacter sicerae sp. nov.
Acetobacter sp.
Acetobacter syzygii
Acetobacter tropicalis
Acetobacter xylinum subsp. nonacetoxidans
Acetobacter xylinus subsp. sucrofermentans
Acetobacterium bakii
Acetobacterium carbinolicum
Acetobacterium dehalogenans
Acetobacterium fimetarium
Acetobacterium malicum
Acetobacterium paludosum
Acetobacterium sp.
Acetobacterium tundrae
Acetobacterium wieringae
Acetobacterium woodii
Acetobacteroides hydrogenigenes
Acetobacteroides hydrogenigenes gen. nov.
Acetogenium kivui
Acetogenium kivui gen. nov.
Acetohalobium arabaticum
Acetomicrobium faecale
Acetomicrobium flavidum
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetomicrobium thermoterrenum
Acetonema longum
Acetonema sp.
Acholeplasma bactoclasticum
Acholeplasma bactoclasticum sp. n.
Acholeplasma brassicae
Acholeplasma brassicae sp. nov.
Acholeplasma cavigenitalium
Acholeplasma cavigenitalium sp. nov.
Acholeplasma entomophilum
Acholeplasma entomophilum sp. nov.
Acholeplasma equirhinis
Acholeplasma laidlawii
Acholeplasma multilocale
Acholeplasma multilocale sp. nov.
Acholeplasma seiffertii
Acholeplasma seiffertii sp. nov.
Acholeplasma vituli
Acholeplasma vituli sp. nov.
Achromobacter aegrifaciens
Achromobacter agilis
Achromobacter aloeverae
Achromobacter aloeverae sp. nov.
Achromobacter animicus
Achromobacter anxifer
Achromobacter deleyi
Achromobacter denitrificans
Achromobacter dolens
Achromobacter insolitus
Achromobacter insolitus sp. nov.
Achromobacter insuavis
Achromobacter kerstersii
Achromobacter marplatensis
Achromobacter marplatensis sp. nov.
Achromobacter mucicolens
Achromobacter pestifer
Achromobacter piechaudii
Achromobacter pulmonis
Achromobacter ruhlandii
Achromobacter sediminum
Achromobacter sediminum sp. nov.
Achromobacter sp.
Achromobacter spanius
Achromobacter veterisilvae
Achromobacter veterisilvae sp. nov.
Achromobacter xylosoxidans
Achromobacter xylosoxidans subsp. xylosoxidans
Acidaminobacter hydrogenoformans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus intestini sp. nov.
Acidianus ambivalens
Acidianus brierleyi
Acidianus infernus
Acidianus infernus gen. nov.
Acidianus sp.
Acidianus sulfidivorans
Acidianus sulfidivorans sp. nov.
Acidibacillus ferrooxidans
Acidibacillus sulfuroxidans
Acidibacter ferrireducens
Acidibrevibacterium fodinaquatile
Acidibrevibacterium fodinaquatile gen. nov.
Acidicaldus organivorans
Acidicapsa acidiphila
Acidicapsa acidisoli
Acidicapsa acidisoli sp. nov.
Acidicapsa borealis
Acidicapsa borealis gen. nov.
Acidicapsa dinghuensis
Acidicapsa dinghuensis sp. nov.
Acidicapsa ferrireducens
Acidicapsa ligni
Acidiferrimicrobium australe
Acidiferrimicrobium australe gen. nov.
Acidiferrobacter sp.
Acidiferrobacter thiooxydans
Acidihalobacter aeolianus
Acidihalobacter ferrooxydans
Acidihalobacter prosperus
Acidihalobacter yilgarnensis
Acidilobus aceticus
Acidilobus aceticus gen. nov.
Acidilobus saccharovorans
Acidiluteibacter ferrifornacis
Acidiluteibacter ferrifornacis gen. nov.
Acidimangrovimonas pyrenivorans
